id,brand,food_name,serving_size,weight_g,phe_mg,mg/g,protein_g,Exch,calories_kcal
257,Hot Kid,"Apple Baby Mum Mum Rice Rusks, Organic",4 rusks,8,24,3,0.5,1.6,30
258,Hot Kid,"Banana Baby Mum Mum Rice Rusks, Organic",4 rusks,8,25,3.13,0.4,1.7,30
259,Hot Kid,"Blueberry & Goji Baby Mum Mum Rice Rusks, Organic",4 rusks,8,29,3.6,0.5,1.9,35
260,Hot Kid,Original Baby Mum Mum Rice Rusks,4 rusks,8,27,3.31,0.5,1.8,30
261,Hot Kid,"Straberry Toddler Mum Mums, Organic",4 biscuits,10,30,3,0.6,2,40
262,Hot Kid,"Sweet Potato & Carrot Baby Mum Mum Rice Rusks, Organic",4 rusks,8,29,3.6,0.5,1.9,35
263,Hot Kid,"Vegetable Baby Mum Mum Rice Rusks, Organic",4 rusks,8,25,3.13,0.4,1.7,30
264,Love Child,Apple Banana Blueberry,1 pouch,128,28,0.22,0.7,1.9,90
265,Love Child,Apple Banana Spinach Avocado,1 pouch,128,56,0.44,1.3,3.7,100
266,Love Child,Apple Butternut Squash Cherry Ginger,1 pouch,128,38,0.3,1.1,2.5,70
267,Love Child,Apple Corn Butternut Squash,1 pouch,128,41,0.32,1,2.7,90
268,Love Child,"Apple Mango & Carrot Puree, Fruities on the Go",1 pouch,128,30,0.23,0.9,2,100
269,Love Child,Apple Pumpkin Raisin Cinnamon Porridge,1 pouch,128,96,0.75,2.3,6.4,90
270,Love Child,Apple Spinach Broccoli Kiwi,1 pouch,128,75,0.59,1.9,5,60
271,Love Child,Apple Strawberry Beet Blueberry,1 pouch,128,25,0.2,0.6,1.7,70
272,Love Child,Apple Sweet Potato Beet Cinnamon,1 pouch,128,50,0.39,1,3.3,80
273,Love Child,Apple Sweet Potato Carrot Blueberry,1 pouch,128,40,0.31,0.9,2.7,80
274,Love Child,"Apples, First",1 pouch,128,5,0.04,0.2,0.3,60
275,Love Child,"Apples, Sweet Potatoes, Broccoli & Spinach",1 pouch,128,63,0.49,1.4,4.2,80
276,Love Child,Banana Carrot Mango Coconut,1 pouch,128,67,0.52,1.6,4.5,120
277,Love Child,Banana Pumpkin Pear Coconut,1 pouch,128,58,0.45,1.4,3.9,110
278,Love Child,Banana Strawberry Peach,1 pouch,128,46,0.36,1.3,3.1,90
279,Love Child,Hearty Bolognese,1 pouch,128,112,0.88,4,7.5,60
280,Love Child,Mango Chicken Stew,1 pouch,128,151,1.18,3.8,10.1,80
281,Love Child,Pear Banana Blackberry Raspberry Porridge,1 pouch,128,108,0.84,2.3,7.2,90
282,Love Child,Pear Carrot Green Bean Prune,1 pouch,128,53,0.41,1.6,3.5,90
283,Love Child,Pear Kale Pea,1 pouch,128,56,0.44,1.7,3.7,70
284,Love Child,"Pears, First",1 pouch,128,24,0.19,0.9,1.6,80
285,Love Child,"Prunes, First",1 pouch,128,28,0.22,1.1,1.9,110
286,Love Child,Pumpkin Risotto,1 pouch,128,154,1.2,3.8,10.3,100
287,Love Child,Ratatouille,1 pouch,128,178,1.39,4,11.9,80
288,Love Child,Strawberry Rhubard Yorridge,1 pouch,128,64,0.5,1.8,4.3,80
289,Love Child,Vegetarian Chili,1 pouch,128,205,1.6,3.7,13.7,90
290,Love Child,Veggie Casserole,1 pouch,128,210,1.64,4.6,14,90
291,Mead Johnson,"Mead Johnson Phenyl-Free 1, Dry, Unpacked",1 scoop,5,0,0,0,0,23
292,Mead Johnson,"PhenylFree 1, Dry, Unpacked",1 scoop,5,0,0,0,0,23
293,Milupa,"Cereal, LP-Fruity Apple Banana",50 g,50,35,0.7,0.9,2.3,222
294,Milupa,"Cereal, LP-Fruity Pear",50 g,50,35,0.7,0.9,2.3,222
295,Nosh!,Banana & Mango Teething Wafers,4 wafers,8,26,3.25,0.5,1.7,35
296,Nosh!,Blueberry  Pomegranate Teething Wafers,4 wafers,8,26,3.25,0.5,1.7,35
297,Nosh!,Kale Broccoli & Pear Teething Wafers,4 wafers,8,29,3.63,0.5,1.9,35
298,Nosh!,Simply Rice Teething Wafers,4 wafers,8,27,3.38,0.5,1.8,35
299,Nosh!,Strawberry & Beet Teething Wafers,4 wafers,8,26,3.25,0.5,1.7,35
300,Nosh!,Sweet Potato & Pumpkin Teething Wafers,4 wafers,8,26,3.25,0.5,1.7,35
301,Nutricia,"Periflex Advance, Unflavored, Dry",11.1 TBSP,100,0,0,0,0,385
302,Nutricia,Periflex Early Years,1 scoop,5,0,0,0,0,24
303,Nutricia,"Periflex Infant, Dry",1 scoop,5,0,0,0,0,21
304,Nutricia,"Periflex Junior Plus, Plain, Vanilla, Orange, or Berry",100 g,100,0,0,0,0,385
305,Nutricia,"Periflex Junior, Unflavored, Dry",1 TBSP,9,0,0,0,0,35
306,Nutricia,PhenylAde Essential Drink Mix,1 scoop,40,0,0,0,0,156
307,Nutricia,"Phenylade GMP Drink Mix, Original or Vanilla",1 pouch,33,15,0.46,0.3,1,132
308,Once Upon A Farm,PKU Perfilex Early Years,1 scoop,5,0,0,0,0,24
309,Once Upon A Farm,Apple Blueberry Applesauce,1 pouch,91,9,0.1,0.3,0.6,60
310,Once Upon A Farm,"Appley Eating Greens, Smoothie",1 pouch,113,100,0.88,2.6,6.7,100
311,Once Upon A Farm,"Baby Bear Butternut, Stage 1",1 pouch,91,23,0.25,0.6,1.5,50
312,Once Upon A Farm,Beauty and the Beet,4 oz,113,127,1.12,3.2,8.5,110
313,Once Upon A Farm,"Berry Berry, Quite Contrary, Smoothie",1 pouch,113,90,0.79,2.7,6,100
314,Once Upon A Farm,Blueberry Bear,4 oz,113,33,0.29,0.8,2.2,70
315,Once Upon A Farm,"Blueberry Rosemary Pear-fection, Smoothie",3.5 oz,99,94,0.94,2.5,6.2,110
316,Once Upon A Farm,Carrot Lot,4 oz,113,18,0.16,0.7,1.2,3
317,Once Upon A Farm,"Coco for Mangoes, Smoothie",4 oz,113,95,0.84,2.5,6.3,110
318,Once Upon A Farm,"Gold-y Mango and the Three Coconuts, Stage 3",3.2 oz ,91,32,0.35,0.8,2.1,100
319,Once Upon A Farm,"Green Kale & Apples, Stage 2",3.2 oz ,91,24,0.26,0.5,1.6,60
320,Once Upon A Farm,"Just Right Oats, Stage 3",1 pouch,91,40,0.44,1,2.7,70
321,Once Upon A Farm,"Magic Velvet Mango, Stage 1",1 pouch,91,23,0.25,0.7,1.5,50
322,Once Upon A Farm,"Mama Bear Blueberry, Stage 2",3.2 oz ,91,16,0.17,0.4,1.1,60
323,Once Upon A Farm,"OhMyMega Veggie, Stage 2",3.2 oz ,91,16,0.17,0.3,1,60
324,Once Upon A Farm,"Peter Banana Pumpkin Eater, Smoothie",1 pouch,99,154,1.55,3.3,10.3,130
325,Once Upon A Farm,Pineapple Of My Eye,4 oz,113,55,0.49,1.3,3.7,80
326,Once Upon A Farm,Prince of Prunes,4 oz,113,16,0.14,0.6,1.1,70
327,Once Upon A Farm,Rasp-pear-y Vanilla Fairy,1 pouch ,99,92,0.93,2.5,6.1,120
328,Once Upon A Farm,So Sweet Potato,4 oz,113,62,0.55,1.1,4.1,60
329,Once Upon A Farm,Squash Bucklin' Sage,4 oz,113,63,0.56,1.6,4.2,90
330,Once Upon A Farm,"Straight from the Apple Tree, Applesauce",1 pouch,91,5,0.06,0.2,0.3,60
331,Once Upon A Farm,Straw-pear-y Carrot,4 oz,113,25,0.22,0.6,1.7,60
332,Once Upon A Farm,"Strawberry Banana Swirl, Smoothie",4 oz,113,112,0.99,2.5,7.5,100
333,Once Upon A Farm,Strawberry Beet Basil,4 oz,113,72,0.64,1.7,4.8,100
334,Once Upon A Farm,"Sun Shiny Strawberry Patch, Stage 3",3.2 oz ,91,49,0.54,1,3.2,80
335,Once Upon A Farm,"The Fairest of Pears, Stage 1",1 pouch,91,8,0.09,0.3,0.5,60
336,Once Upon A Farm,"Wild Rumpus Avocado, Stage 2",3.2 oz ,91,31,0.35,0.8,2.1,60
337,Peter Rabbit,Apple & Grape,1 pouch,113,18,0.16,0.7,1.2.9,100
338,Peter Rabbit,Apple & Peach,1 pouch,113,13,0.12,0.6,0.9,60
339,Peter Rabbit,"Apple, Carrot & Squash",1 pouch,125,34,0.27,1.1,2.3,70
340,Peter Rabbit,"Apple, Pea & Spinach",1 pouch,125,81,0.64,2.3,5.4,70
341,Peter Rabbit,"Apple, Sweet Potato & Corn",1 pouch,125,63,0.5,1.5,4.2,70
342,Peter Rabbit,"Pear, Carrot & Beet",1 pouch,125,33,0.26,1.1,2.2,50
343,Peter Rabbit,Straberry & Banana,1 pouch,113,52,0.46,1.4,3.5,70
344,Plum Organics,"Apple & Broccoli, Second Blends",1 pouch,113,25,0.22,0.8,1.7,50
345,Plum Organics,"Apple & Carrot, Second Blends",1 pouch,113,10,0.09,0.4,0.7,50
346,Plum Organics,"Banana & Pumpkin, Second Blends",1 pouch,113,48,0.42,1.2,3.2,80
347,Plum Organics,"Peach, Banana & Apricot, Second Blends",1 pouch,113,33,0.29,1,2.2,70
348,Plum Organics,"Pear & Mango, Second Blends",1 pouch,113,15,0.13,0.5,1,70
349,Plum Organics,"Pear, Purple Carrot & Blueberry, Second Blends",1 pouch,113,18,0.16,0.6,1.2,60
350,Plum Organics,"Pear, Spinach & Pea, Second Blends",1 pouch,113,59,0.52,1.6,4,70
351,Plum Organics,"Sweet Potato, Apple & Corn, Second Blends",1 pouch,113,54,0.48,1.3,3.6,90
352,Similac,Similac Advance,100 g,100,465,4.65,10.8,31,506
353,Vitaflo,"PKU Gel, Orange, Dry",1 packet,24,0,0,0,0,76
354,Vitaflo,"PKU Gel, Raspberry, Dry",1 packet,24,0,0,0,0,76
355,Vitaflo,"PKU Gel, Unflavored, Dry",1 packet,24,0,0,0,0,81
356,GreatValue,French Fries,84 g,84,100,1.19,2,0,170
357,Trader Joes,Veggie Sticks,1 oz,28,15.4,0.55,1,0,140
